,host_since,calendar_updated
1966,2015-05-13,23/04/2022
1967,2014-11-22,23/04/2022
1968,2017-03-26,23/04/2022
1969,2017-03-29,23/04/2022
1970,2014-05-13,23/04/2022
1971,2014-12-28,23/04/2022
1972,2017-08-29,23/04/2022
1973,2018-04-23,23/04/2022
1974,2016-08-26,23/04/2022
1975,2017-05-25,23/04/2022
1976,2014-01-30,23/04/2022
1977,2015-07-20,23/04/2022
1978,2012-10-12,23/04/2022
1979,2013-11-03,23/04/2022
1980,2015-10-31,23/04/2022
1981,2015-08-25,23/04/2022
1982,2017-06-21,23/04/2022
1983,2017-11-07,23/04/2022
1984,2012-07-07,23/04/2022
1985,2017-08-26,23/04/2022
1986,2013-07-17,23/04/2022
1987,2013-10-12,23/04/2022
1988,2017-12-04,23/04/2022
1989,2017-12-04,23/04/2022
1990,2013-05-27,23/04/2022
1991,2017-03-09,23/04/2022
1992,2017-04-13,23/04/2022
1993,2017-03-09,23/04/2022
1994,2017-01-02,23/04/2022
1995,2014-03-14,23/04/2022
1996,2017-09-07,23/04/2022
1997,2014-06-24,23/04/2022
1998,2016-04-29,23/04/2022
1999,2012-12-29,23/04/2022
2000,2016-02-26,23/04/2022
2001,2015-10-08,23/04/2022
2002,2017-06-21,23/04/2022
2003,2013-10-12,23/04/2022
2004,2013-10-12,23/04/2022
2005,2017-04-09,23/04/2022
2006,2017-03-09,23/04/2022
2007,2016-01-18,23/04/2022
2008,2017-08-31,23/04/2022
2009,2017-08-31,23/04/2022
2010,2017-08-31,23/04/2022
2011,2013-07-21,23/04/2022
2012,2016-05-03,23/04/2022
2013,2014-09-23,23/04/2022
2014,2017-07-15,23/04/2022
2015,2015-09-23,23/04/2022
2016,2014-02-03,23/04/2022
2017,2017-07-05,23/04/2022
2018,2016-03-20,23/04/2022
2019,2013-08-30,23/04/2022
2020,2014-11-13,23/04/2022
2021,2016-08-26,23/04/2022
2022,2017-08-19,23/04/2022
2023,2013-11-26,23/04/2022
2024,2018-04-23,23/04/2022
2025,2017-12-09,23/04/2022
2026,2015-08-22,23/04/2022
2027,2014-05-13,23/04/2022
2028,2017-06-26,23/04/2022
2029,2014-05-07,23/04/2022
2030,2016-03-05,23/04/2022
2031,2017-05-13,23/04/2022
2032,2016-01-14,23/04/2022
2033,2017-07-20,23/04/2022
2034,2017-10-07,23/04/2022
2035,2017-07-20,23/04/2022
2036,2017-07-20,23/04/2022
2037,2017-06-30,23/04/2022
2038,2016-01-17,23/04/2022
2039,2013-10-15,23/04/2022
2040,2017-09-16,23/04/2022
2041,2016-09-19,23/04/2022
2042,2015-02-26,23/04/2022
2043,2015-09-22,23/04/2022
2044,2015-02-10,23/04/2022
2045,2017-09-18,23/04/2022
2046,2010-04-26,23/04/2022
2047,2016-02-06,23/04/2022
2048,2016-07-01,23/04/2022
2049,2017-07-22,23/04/2022
2050,2017-07-22,23/04/2022
2051,2016-12-23,23/04/2022
2052,2017-10-02,23/04/2022
2053,2012-04-27,23/04/2022
2054,2015-09-06,23/04/2022
2055,2014-12-09,23/04/2022
2056,2014-05-13,23/04/2022
2057,2014-05-13,23/04/2022
2058,2011-06-22,23/04/2022
2059,2014-04-06,23/04/2022
2060,2017-09-22,23/04/2022
2061,2015-10-23,23/04/2022
2062,2013-02-06,23/04/2022
2063,2017-09-25,23/04/2022
2064,2016-06-23,23/04/2022
2065,2017-09-26,23/04/2022
2066,2013-01-10,23/04/2022
2067,2017-07-25,23/04/2022
2068,2017-07-18,23/04/2022
2069,2012-07-13,23/04/2022
2070,2017-04-05,23/04/2022
2071,2016-11-21,23/04/2022
2072,2017-10-07,23/04/2022
2073,2013-06-12,23/04/2022
2074,2017-02-08,23/04/2022
2075,2017-03-19,23/04/2022
2076,2014-09-22,23/04/2022
2077,2017-09-27,23/04/2022
2078,2012-09-03,23/04/2022
2079,2017-09-18,23/04/2022
2080,2017-03-08,23/04/2022
2081,2016-11-14,23/04/2022
2082,2016-12-16,23/04/2022
2083,2017-08-05,23/04/2022
2084,2016-06-23,23/04/2022
2085,2017-07-08,23/04/2022
2086,2017-08-08,23/04/2022
2087,2012-08-22,23/04/2022
2088,2017-08-08,23/04/2022
2089,2017-09-29,23/04/2022
2090,2017-09-29,23/04/2022
2091,2015-07-26,23/04/2022
2092,2016-12-23,23/04/2022
2093,2013-02-24,23/04/2022
2094,2015-10-23,23/04/2022
2095,2015-09-19,23/04/2022
2096,2015-01-06,23/04/2022
2097,2015-12-27,23/04/2022
2098,2015-11-22,23/04/2022
2099,2015-07-07,23/04/2022
2100,2015-12-07,23/04/2022
2101,2015-12-24,23/04/2022
2102,2015-12-23,23/04/2022
2103,2017-08-13,23/04/2022
2104,2016-01-12,23/04/2022
2105,2017-08-01,23/04/2022
2106,2016-10-24,23/04/2022
2107,2014-12-28,23/04/2022
2108,2016-05-20,23/04/2022
2109,2015-09-17,23/04/2022
2110,2015-07-25,23/04/2022
2111,2017-06-21,23/04/2022
2112,2017-08-17,23/04/2022
2113,2017-08-18,23/04/2022
2114,2017-08-05,23/04/2022
2115,2015-11-22,23/04/2022
2116,2015-05-17,23/04/2022
2117,2013-04-17,23/04/2022
2118,2011-08-22,23/04/2022
2119,2016-01-23,23/04/2022
2120,2016-12-01,23/04/2022
2121,2014-02-03,23/04/2022
2122,2014-03-31,23/04/2022
2123,2013-05-27,23/04/2022
2124,2017-10-14,23/04/2022
2125,2015-03-24,23/04/2022
2126,2015-09-06,23/04/2022
2127,2017-01-10,23/04/2022
2128,2016-07-06,23/04/2022
2129,2017-09-18,23/04/2022
2130,2016-01-30,23/04/2022
2131,2017-11-03,23/04/2022
2132,2015-07-12,23/04/2022
2133,2016-09-27,23/04/2022
2134,2015-07-14,23/04/2022
2135,2017-08-19,23/04/2022
2136,2014-04-22,23/04/2022
2137,2019-06-20,23/04/2022
2138,2014-06-10,23/04/2022
2139,2015-10-31,23/04/2022
2140,2015-11-13,23/04/2022
2141,2015-06-01,23/04/2022
2142,2016-07-01,23/04/2022
2143,2016-06-08,23/04/2022
2144,2017-07-10,23/04/2022
2145,2014-08-10,23/04/2022
2146,2017-08-10,23/04/2022
2147,2017-03-01,23/04/2022
2148,2015-07-28,23/04/2022
2149,2017-10-18,23/04/2022
2150,2014-01-04,23/04/2022
2151,2014-11-13,23/04/2022
2152,2016-02-13,23/04/2022
2153,2017-10-20,23/04/2022
2154,2017-10-21,23/04/2022
2155,2013-07-07,23/04/2022
2156,2017-10-21,23/04/2022
2157,2017-09-10,23/04/2022
2158,2016-10-18,23/04/2022
2159,2016-10-18,23/04/2022
2160,2013-01-15,23/04/2022
2161,2016-01-09,23/04/2022
2162,2012-03-16,23/04/2022
2163,2013-01-15,23/04/2022
2164,2014-02-07,23/04/2022
2165,2017-03-29,23/04/2022
2166,2015-05-19,23/04/2022
2167,2015-05-08,23/04/2022
2168,2014-05-13,23/04/2022
2169,2017-10-24,23/04/2022
2170,2017-05-18,23/04/2022
2171,2015-10-20,23/04/2022
2172,2017-10-26,23/04/2022
2173,2017-02-10,23/04/2022
2174,2015-11-24,23/04/2022
2175,2017-10-27,23/04/2022
2176,2012-03-17,23/04/2022
2177,2017-10-02,23/04/2022
2178,2017-08-09,23/04/2022
2179,2012-08-24,23/04/2022
2180,2017-03-29,23/04/2022
2181,2015-10-11,23/04/2022
2182,2015-06-01,23/04/2022
2183,2015-08-11,23/04/2022
2184,2015-11-24,23/04/2022
2185,2013-04-08,23/04/2022
2186,2015-07-12,23/04/2022
2187,2017-10-29,23/04/2022
2188,2013-05-12,23/04/2022
2189,2013-08-21,23/04/2022
2190,2017-08-13,23/04/2022
2191,2015-04-06,23/04/2022
2192,2017-08-02,23/04/2022
2193,2014-04-30,23/04/2022
2194,2015-04-18,23/04/2022
2195,2015-10-27,23/04/2022
2196,2017-10-30,23/04/2022
2197,2013-01-08,23/04/2022
2198,2017-07-20,23/04/2022
2199,2013-08-04,23/04/2022
2200,2017-01-11,23/04/2022
2201,2016-10-24,23/04/2022
2202,2017-03-11,23/04/2022
2203,2014-11-27,23/04/2022
2204,2014-01-16,23/04/2022
2205,2017-11-16,23/04/2022
2206,2014-05-23,23/04/2022
2207,2015-05-12,23/04/2022
2208,2016-09-04,23/04/2022
2209,2017-09-19,23/04/2022
2210,2016-05-23,23/04/2022
2211,2014-11-22,23/04/2022
2212,2017-11-26,23/04/2022
2213,2010-04-26,23/04/2022
2214,2017-10-29,23/04/2022
2215,2014-08-18,23/04/2022
2216,2012-08-14,23/04/2022
2217,2011-11-21,23/04/2022
2218,2015-11-28,23/04/2022
2219,2013-04-05,23/04/2022
2220,2012-08-03,23/04/2022
2221,2016-08-29,23/04/2022
2222,2013-10-06,23/04/2022
2223,2017-07-05,23/04/2022
2224,2015-11-24,23/04/2022
2225,2017-03-20,23/04/2022
2226,2014-03-25,23/04/2022
2227,2017-11-29,23/04/2022
2228,2017-01-28,23/04/2022
2229,2013-02-10,23/04/2022
2230,2017-07-11,23/04/2022
2231,2016-10-14,23/04/2022
2232,2017-08-11,23/04/2022
2233,2014-12-16,23/04/2022
2234,2016-10-02,23/04/2022
2235,2014-01-15,23/04/2022
2236,2015-11-16,23/04/2022
2237,2013-05-13,23/04/2022
2238,2017-09-25,23/04/2022
2239,2015-02-24,23/04/2022
2240,2016-02-11,23/04/2022
2241,2016-07-17,23/04/2022
2242,2015-02-11,23/04/2022
2243,2012-07-07,23/04/2022
2244,2015-07-26,23/04/2022
2245,2015-03-08,23/04/2022
2246,2016-03-28,23/04/2022
2247,2015-10-28,23/04/2022
2248,2016-09-04,23/04/2022
2249,2013-01-15,23/04/2022
2250,2017-11-11,23/04/2022
2251,2016-10-20,23/04/2022
2252,2017-12-11,23/04/2022
2253,2017-12-11,23/04/2022
2254,2017-06-17,23/04/2022
2255,2016-02-06,23/04/2022
2256,2016-02-06,23/04/2022
2257,2014-04-13,23/04/2022
2258,2016-01-16,23/04/2022
2259,2017-05-12,23/04/2022
2260,2017-10-18,23/04/2022
2261,2017-05-21,23/04/2022
2262,2012-05-23,23/04/2022
2263,2016-08-07,23/04/2022
2264,2016-08-26,23/04/2022
2265,2013-11-20,23/04/2022
2266,2018-03-10,23/04/2022
2267,2017-12-11,23/04/2022
2268,2017-12-11,23/04/2022
2269,2017-11-04,23/04/2022
2270,2017-11-13,23/04/2022
2271,2014-02-06,23/04/2022
2272,2012-03-08,23/04/2022
2273,2015-01-06,23/04/2022
2274,2014-02-13,23/04/2022
2275,2013-05-30,23/04/2022
2276,2013-07-25,23/04/2022
2277,2017-07-12,23/04/2022
2278,2017-05-09,23/04/2022
2279,2015-07-14,23/04/2022
2280,2015-03-13,23/04/2022
2281,2015-10-10,23/04/2022
2282,2012-09-20,23/04/2022
2283,2014-10-06,23/04/2022
2284,2016-08-08,23/04/2022
2285,2014-04-26,23/04/2022
2286,2015-11-14,23/04/2022
2287,2017-11-18,23/04/2022
2288,2016-07-30,23/04/2022
2289,2013-10-20,23/04/2022
2290,2014-05-23,23/04/2022
2291,2017-11-19,23/04/2022
2292,2017-08-24,23/04/2022
2293,2017-01-18,23/04/2022
2294,2016-02-02,23/04/2022
2295,2017-10-12,23/04/2022
2296,2017-08-22,23/04/2022
2297,2017-08-22,23/04/2022
2298,2016-02-22,23/04/2022
2299,2016-10-16,23/04/2022
2300,2012-03-08,23/04/2022
2301,2016-10-24,23/04/2022
2302,2012-07-18,23/04/2022
2303,2015-04-13,23/04/2022
2304,2017-11-21,23/04/2022
2305,2014-01-10,23/04/2022
2306,2013-10-03,23/04/2022
2307,2014-10-13,23/04/2022
2308,2017-11-22,23/04/2022
2309,2017-11-22,23/04/2022
2310,2016-04-27,23/04/2022
2311,2016-06-15,23/04/2022
2312,2017-11-24,23/04/2022
2313,2017-02-27,23/04/2022
2314,2015-03-03,23/04/2022
2315,2013-12-22,23/04/2022
2316,2018-03-10,23/04/2022
2317,2014-05-14,23/04/2022
2318,2017-12-12,23/04/2022
2319,2016-07-12,23/04/2022
2320,2017-12-30,23/04/2022
2321,2017-09-21,23/04/2022
2322,2012-07-22,23/04/2022
2323,2015-08-23,23/04/2022
2324,2017-03-20,23/04/2022
2325,2018-02-01,23/04/2022
2326,2016-02-09,23/04/2022
2327,2017-10-07,23/04/2022
2328,2016-08-14,23/04/2022
2329,2018-05-01,23/04/2022
2330,2017-12-13,23/04/2022
2331,2014-05-23,23/04/2022
2332,2014-11-22,23/04/2022
2333,2015-08-23,23/04/2022
2334,2015-06-28,23/04/2022
2335,2014-05-03,23/04/2022
2336,2011-07-20,23/04/2022
2337,2014-05-03,23/04/2022
2338,2017-05-07,23/04/2022
2339,2015-01-06,23/04/2022
2340,2016-04-15,23/04/2022
2341,2014-02-06,23/04/2022
2342,2017-01-27,23/04/2022
2343,2013-09-30,23/04/2022
2344,2015-07-03,23/04/2022
2345,2018-01-13,23/04/2022
2346,2017-12-17,23/04/2022
2347,2014-09-26,23/04/2022
2348,2013-10-07,23/04/2022
2349,2017-12-19,23/04/2022
2350,2017-12-18,23/04/2022
2351,2014-01-23,23/04/2022
2352,2014-05-19,23/04/2022
2353,2014-02-19,23/04/2022
2354,2013-08-22,23/04/2022
2355,2018-01-15,23/04/2022
2356,2016-07-12,23/04/2022
2357,2016-02-25,23/04/2022
2358,2018-01-16,23/04/2022
2359,2015-10-23,23/04/2022
2360,2010-12-30,23/04/2022
2361,2014-05-19,23/04/2022
2362,2012-07-24,23/04/2022
2363,2017-03-29,23/04/2022
2364,2013-11-24,23/04/2022
2365,2013-10-07,23/04/2022
2366,2014-03-02,23/04/2022
2367,2016-07-27,23/04/2022
2368,2014-03-02,23/04/2022
2369,2017-06-09,23/04/2022
2370,2011-04-07,23/04/2022
2371,2014-08-16,23/04/2022
2372,2017-04-17,23/04/2022
2373,2018-01-18,23/04/2022
2374,2017-04-17,23/04/2022
2375,2018-01-18,23/04/2022
2376,2015-03-13,23/04/2022
2377,2014-07-14,23/04/2022
2378,2013-10-10,23/04/2022
2379,2016-04-15,23/04/2022
2380,2012-01-24,23/04/2022
2381,2017-12-24,23/04/2022
2382,2017-07-12,23/04/2022
2383,2014-11-17,23/04/2022
2384,2017-04-21,23/04/2022
2385,2017-12-26,23/04/2022
2386,2017-07-08,23/04/2022
2387,2015-11-30,23/04/2022
2388,2013-10-10,23/04/2022
2389,2018-09-01,23/04/2022
2390,2017-04-17,23/04/2022
2391,2018-01-20,23/04/2022
2392,2014-04-26,23/04/2022
2393,2016-10-15,23/04/2022
2394,2018-01-25,23/04/2022
2395,2018-01-25,23/04/2022
2396,2018-01-25,23/04/2022
2397,2013-06-01,23/04/2022
2398,2015-08-14,23/04/2022
2399,2018-01-20,23/04/2022
2400,2018-01-26,23/04/2022
2401,2016-08-03,23/04/2022
2402,2012-06-30,23/04/2022
2403,2015-02-24,23/04/2022
2404,2012-04-03,23/04/2022
2405,2015-03-03,23/04/2022
2406,2016-10-12,23/04/2022
2407,2016-12-21,23/04/2022
2408,2016-04-20,23/04/2022
2409,2015-08-25,23/04/2022
2410,2015-08-02,23/04/2022
2411,2016-04-10,23/04/2022
2412,2017-12-11,23/04/2022
2413,2017-12-11,23/04/2022
2414,2017-06-23,23/04/2022
2415,2013-12-10,23/04/2022
2416,2014-07-26,23/04/2022
2417,2018-05-02,23/04/2022
2418,2016-04-25,23/04/2022
2419,2017-12-16,23/04/2022
2420,2017-01-11,23/04/2022
2421,2017-12-04,23/04/2022
2422,2015-02-09,23/04/2022
2423,2017-05-07,23/04/2022
2424,2015-09-28,23/04/2022
2425,2017-06-24,23/04/2022
2426,2017-12-30,23/04/2022
2427,2018-02-27,23/04/2022
2428,2017-10-27,23/04/2022
2429,2017-10-27,23/04/2022
2430,2017-10-27,23/04/2022
2431,2017-05-23,23/04/2022
2432,2018-09-02,23/04/2022
2433,2016-09-06,23/04/2022
2434,2014-04-06,23/04/2022
2435,2011-08-15,23/04/2022
2436,2012-05-23,23/04/2022
2437,2012-05-23,23/04/2022
2438,2016-03-21,23/04/2022
2439,2018-01-24,23/04/2022
2440,2018-02-28,23/04/2022
2441,2011-06-07,23/04/2022
2442,2018-06-03,23/04/2022
2443,2017-02-23,23/04/2022
2444,2018-02-13,23/04/2022
2445,2012-05-23,23/04/2022
2446,2012-05-23,23/04/2022
2447,2015-03-13,23/04/2022
2448,2014-12-10,23/04/2022
2449,2014-05-19,23/04/2022
2450,2016-09-10,23/04/2022
2451,2012-02-12,23/04/2022
2452,2016-02-06,23/04/2022
2453,2015-11-08,23/04/2022
2454,2014-08-04,23/04/2022
2455,2013-03-08,23/04/2022
2456,2017-08-31,23/04/2022
2457,2016-06-10,23/04/2022
2458,2010-12-30,23/04/2022
2459,2018-04-11,23/04/2022
2460,2015-10-10,23/04/2022
2461,2018-02-17,23/04/2022
2462,2012-05-28,23/04/2022
2463,2018-02-16,23/04/2022
2464,2018-02-18,23/04/2022
2465,2017-10-27,23/04/2022
2466,2017-10-27,23/04/2022
2467,2015-08-14,23/04/2022
2468,2017-12-18,23/04/2022
2469,2016-02-23,23/04/2022
2470,2018-09-03,23/04/2022
2471,2018-01-13,23/04/2022
2472,2012-01-06,23/04/2022
2473,2016-04-10,23/04/2022
2474,2017-03-26,23/04/2022
2475,2016-09-30,23/04/2022
2476,2015-10-23,23/04/2022
2477,2017-06-02,23/04/2022
2478,2013-10-11,23/04/2022
2479,2016-03-28,23/04/2022
2480,2018-09-02,23/04/2022
2481,2015-01-02,23/04/2022
2482,2017-03-19,23/04/2022
2483,2018-03-17,23/04/2022
2484,2015-12-13,23/04/2022
2485,2018-03-18,23/04/2022
2486,2013-10-07,23/04/2022
2487,2013-08-09,23/04/2022
2488,2020-02-25,23/04/2022
2489,2017-09-26,23/04/2022
2490,2017-01-17,23/04/2022
2491,2017-09-26,23/04/2022
2492,2017-09-26,23/04/2022
2493,2018-02-20,23/04/2022
2494,2016-09-02,23/04/2022
2495,2016-08-14,23/04/2022
2496,2014-12-15,23/04/2022
2497,2017-12-26,23/04/2022
2498,2016-09-20,23/04/2022
2499,2016-08-20,23/04/2022
2500,2018-03-20,23/04/2022
2501,2018-03-16,23/04/2022
2502,2012-07-25,23/04/2022
2503,2015-08-02,23/04/2022
2504,2013-04-05,23/04/2022
2505,2013-08-23,23/04/2022
2506,2018-02-25,23/04/2022
2507,2016-02-24,23/04/2022
2508,2017-10-27,23/04/2022
2509,2017-10-27,23/04/2022
2510,2015-05-22,23/04/2022
2511,2017-10-27,23/04/2022
2512,2016-06-19,23/04/2022
2513,2014-05-13,23/04/2022
2514,2016-06-13,23/04/2022
2515,2019-07-24,23/04/2022
2516,2015-05-30,23/04/2022
2517,2013-05-19,23/04/2022
2518,2014-05-19,23/04/2022
2519,2016-05-18,23/04/2022
2520,2013-04-19,23/04/2022
2521,2014-11-22,23/04/2022
2522,2014-12-20,23/04/2022
2523,2016-07-25,23/04/2022
2524,2017-01-28,23/04/2022
2525,2017-08-05,23/04/2022
2526,2014-05-13,23/04/2022
2527,2014-05-13,23/04/2022
2528,2017-08-05,23/04/2022
2529,2017-08-05,23/04/2022
2530,2018-03-29,23/04/2022
2531,2017-05-07,23/04/2022
2532,2014-02-19,23/04/2022
2533,2018-04-18,23/04/2022
2534,2018-04-20,23/04/2022
2535,2017-05-07,23/04/2022
2536,2017-01-22,23/04/2022
2537,2016-09-20,23/04/2022
2538,2017-12-28,23/04/2022
2539,2017-12-19,23/04/2022
2540,2014-09-15,23/04/2022
2541,2018-03-30,23/04/2022
2542,2017-06-23,23/04/2022
2543,2014-10-15,23/04/2022
2544,2018-01-04,23/04/2022
2545,2018-01-04,23/04/2022
2546,2019-09-09,23/04/2022
2547,2010-08-16,23/04/2022
2548,2018-09-01,23/04/2022
2549,2015-09-22,23/04/2022
2550,2016-02-18,23/04/2022
2551,2017-09-03,23/04/2022
2552,2015-05-18,23/04/2022
2553,2015-02-21,23/04/2022
2554,2015-08-15,23/04/2022
2555,2014-10-15,23/04/2022
2556,2011-04-26,23/04/2022
2557,2014-05-13,23/04/2022
2558,2014-05-13,23/04/2022
2559,2014-05-13,23/04/2022
2560,2014-05-13,23/04/2022
2561,2018-04-26,23/04/2022
2562,2017-08-31,23/04/2022
2563,2017-08-13,23/04/2022
2564,2017-08-31,23/04/2022
2565,2013-02-10,23/04/2022
2566,2016-07-04,23/04/2022
2567,2014-06-19,23/04/2022
2568,2015-03-05,23/04/2022
2569,2014-05-13,23/04/2022
2570,2014-05-13,23/04/2022
2571,2016-05-04,23/04/2022
2572,2015-05-02,23/04/2022
2573,2017-12-21,23/04/2022
2574,2018-03-04,23/04/2022
2575,2014-05-13,23/04/2022
2576,2014-05-13,23/04/2022
2577,2014-05-13,23/04/2022
2578,2014-05-13,23/04/2022
2579,2014-05-13,23/04/2022
2580,2014-05-13,23/04/2022
2581,2014-05-13,23/04/2022
2582,2014-05-13,23/04/2022
2583,2014-05-13,23/04/2022
2584,2014-05-13,23/04/2022
2585,2014-05-13,23/04/2022
2586,2014-05-13,23/04/2022
2587,2018-05-04,23/04/2022
2588,2016-05-23,23/04/2022
2589,2016-07-22,23/04/2022
2590,2018-03-05,23/04/2022
2591,2018-04-05,23/04/2022
2592,2018-07-04,23/04/2022
2593,2015-12-20,23/04/2022
2594,2018-07-05,23/04/2022
2595,2017-06-17,23/04/2022
2596,2017-05-16,23/04/2022
2597,2013-07-30,23/04/2022
2598,2016-01-28,23/04/2022
2599,2018-06-04,23/04/2022
2600,2017-09-11,23/04/2022
2601,2018-07-04,23/04/2022
2602,2014-05-13,23/04/2022
2603,2014-05-13,23/04/2022
2604,2014-05-13,23/04/2022
2605,2014-05-13,23/04/2022
2606,2014-04-14,23/04/2022
2607,2018-09-04,23/04/2022
2608,2019-06-20,23/04/2022
2609,2018-10-04,23/04/2022
2610,2013-09-08,23/04/2022
2611,2018-01-04,23/04/2022
2612,2018-01-04,23/04/2022
2613,2013-11-11,23/04/2022
2614,2014-05-23,23/04/2022
2615,2018-04-03,23/04/2022
2616,2016-01-28,23/04/2022
2617,2016-07-06,23/04/2022
2618,2019-07-24,23/04/2022
2619,2018-01-13,23/04/2022
2620,2018-12-05,23/04/2022
2621,2017-05-02,23/04/2022
2622,2013-07-27,23/04/2022
2623,2018-04-16,23/04/2022
2624,2016-06-29,23/04/2022
2625,2015-09-16,23/04/2022
2626,2018-04-13,23/04/2022
2627,2013-03-03,23/04/2022
2628,2017-09-28,23/04/2022
2629,2017-05-30,23/04/2022
2630,2015-12-16,23/04/2022
2631,2018-01-26,23/04/2022
2632,2014-11-02,23/04/2022
2633,2016-11-21,23/04/2022
2634,2018-05-15,23/04/2022
2635,2014-05-27,23/04/2022
2636,2016-09-30,23/04/2022
2637,2013-01-18,23/04/2022
2638,2012-05-23,23/04/2022
2639,2012-05-23,23/04/2022
2640,2016-08-21,23/04/2022
2641,2015-02-11,23/04/2022
2642,2017-09-01,23/04/2022
2643,2018-10-06,23/04/2022
2644,2017-06-30,23/04/2022
2645,2015-03-03,23/04/2022
2646,2012-05-23,23/04/2022
2647,2014-11-22,23/04/2022
2648,2013-06-08,23/04/2022
2649,2015-03-22,23/04/2022
2650,2018-05-21,23/04/2022
2651,2016-03-04,23/04/2022
2652,2014-11-22,23/04/2022
2653,2016-06-23,23/04/2022
2654,2014-05-19,23/04/2022
2655,2014-08-17,23/04/2022
2656,2018-06-14,23/04/2022
2657,2018-06-14,23/04/2022
2658,2016-03-08,23/04/2022
2659,2018-05-24,23/04/2022
2660,2019-06-20,23/04/2022
2661,2014-02-18,23/04/2022
2662,2019-09-09,23/04/2022
2663,2016-04-07,23/04/2022
2664,2016-04-19,23/04/2022
2665,2020-05-03,23/04/2022
2666,2015-11-16,23/04/2022
2667,2011-05-15,23/04/2022
2668,2014-10-28,23/04/2022
2669,2015-06-25,23/04/2022
2670,2018-06-18,23/04/2022
2671,2016-12-19,23/04/2022
2672,2017-10-10,23/04/2022
2673,2017-07-12,23/04/2022
2674,2018-06-06,23/04/2022
2675,2018-06-05,23/04/2022
2676,2016-01-27,23/04/2022
2677,2014-05-13,23/04/2022
2678,2018-06-21,23/04/2022
2679,2015-04-17,23/04/2022
2680,2018-05-18,23/04/2022
2681,2018-05-25,23/04/2022
2682,2015-12-26,23/04/2022
2683,2018-05-24,23/04/2022
2684,2016-09-01,23/04/2022
2685,2018-04-20,23/04/2022
2686,2014-04-06,23/04/2022
2687,2018-05-29,23/04/2022
2688,2018-06-22,23/04/2022
2689,2018-06-23,23/04/2022
2690,2018-06-23,23/04/2022
2691,2017-01-15,23/04/2022
2692,2017-12-04,23/04/2022
2693,2017-12-04,23/04/2022
2694,2017-12-04,23/04/2022
2695,2017-12-04,23/04/2022
2696,2017-12-04,23/04/2022
2697,2016-04-12,23/04/2022
2698,2018-05-28,23/04/2022
2699,2017-03-09,23/04/2022
2700,2018-06-27,23/04/2022
2701,2018-06-05,23/04/2022
2702,2018-10-05,23/04/2022
2703,2013-01-15,23/04/2022
2704,2017-12-30,23/04/2022
2705,2016-04-23,23/04/2022
2706,2017-07-12,23/04/2022
2707,2018-05-31,23/04/2022
2708,2014-08-07,23/04/2022
2709,2013-09-19,23/04/2022
2710,2018-08-03,23/04/2022
2711,2011-12-18,23/04/2022
2712,2016-10-12,23/04/2022
2713,2016-10-23,23/04/2022
2714,2014-05-27,23/04/2022
2715,2018-05-28,23/04/2022
2716,2012-11-09,23/04/2022
2717,2015-05-21,23/04/2022
2718,2016-10-20,23/04/2022
2719,2018-03-07,23/04/2022
2720,2015-09-03,23/04/2022
2721,2011-11-03,23/04/2022
2722,2018-05-28,23/04/2022
2723,2018-05-28,23/04/2022
2724,2018-05-28,23/04/2022
2725,2018-05-28,23/04/2022
2726,2015-11-08,23/04/2022
2727,2015-11-12,23/04/2022
2728,2017-10-16,23/04/2022
2729,2014-06-23,23/04/2022
2730,2014-06-27,23/04/2022
2731,2018-06-27,23/04/2022
2732,2017-08-24,23/04/2022
2733,2018-03-28,23/04/2022
2734,2019-07-24,23/04/2022
2735,2014-09-09,23/04/2022
2736,2018-06-07,23/04/2022
2737,2017-02-23,23/04/2022
2738,2017-06-30,23/04/2022
2739,2016-09-20,23/04/2022
2740,2016-09-10,23/04/2022
2741,2017-04-18,23/04/2022
2742,2018-04-08,23/04/2022
2743,2018-05-08,23/04/2022
2744,2017-12-19,23/04/2022
2745,2018-05-08,23/04/2022
2746,2011-10-19,23/04/2022
2747,2018-10-04,23/04/2022
2748,2011-12-14,23/04/2022
2749,2016-08-07,23/04/2022
2750,2016-08-07,23/04/2022
2751,2015-03-21,23/04/2022
2752,2011-12-16,23/04/2022
2753,2015-04-29,23/04/2022
2754,2014-08-08,23/04/2022
2755,2016-03-21,23/04/2022
2756,2018-06-07,23/04/2022
2757,2015-05-25,23/04/2022
2758,2018-04-06,23/04/2022
2759,2015-07-09,23/04/2022
2760,2015-07-09,23/04/2022
2761,2018-06-07,23/04/2022
2762,2018-05-02,23/04/2022
2763,2014-10-05,23/04/2022
2764,2013-06-23,23/04/2022
2765,2016-03-15,23/04/2022
2766,2012-05-23,23/04/2022
2767,2013-06-21,23/04/2022
2768,2015-12-15,23/04/2022
2769,2017-04-24,23/04/2022
2770,2014-11-12,23/04/2022
2771,2015-08-14,23/04/2022
2772,2014-05-13,23/04/2022
2773,2016-09-08,23/04/2022
2774,2016-10-24,23/04/2022
2775,2017-06-12,23/04/2022
2776,2018-06-07,23/04/2022
2777,2018-12-08,23/04/2022
2778,2017-11-14,23/04/2022
2779,2018-06-25,23/04/2022
2780,2015-11-30,23/04/2022
2781,2015-11-30,23/04/2022
2782,2019-07-24,23/04/2022
2783,2019-07-24,23/04/2022
2784,2015-11-21,23/04/2022
2785,2018-06-07,23/04/2022
2786,2018-06-07,23/04/2022
2787,2017-06-21,23/04/2022
